czas[s],pozycja_y[pixel],wyjscie_y,bład errox_y,P=0.5,I= 0,D= 0
0.0,32,104,-208
0.48,32,104,-208
0.6,33,104,-207
0.66,31,104,-209
0.72,32,104,-208
0.79,32,104,-208
0.88,32,104,-208
0.94,32,104,-208
1.02,34,103,-206
1.12,38,101,-202
1.21,47,96,-193
1.26,64,88,-176
1.37,78,81,-162
1.44,95,72,-145
1.52,126,57,-114
1.63,164,38,-76
1.7,176,32,-64
1.78,236,2,-4
1.84,270,-15,30
1.89,305,-32,65
1.95,366,-63,126
2.02,406,-83,166
2.1,445,-102,205
2.2,417,-88,177
2.26,410,-85,170
2.32,395,-78,155
2.39,383,-72,143
2.45,372,-66,132
2.5,351,-56,111
2.55,335,-48,95
2.59,316,-38,76
2.68,295,-28,55
2.77,272,-16,32
2.87,260,-10,20
2.97,234,3,-6
3.06,220,10,-20
3.11,176,32,-64
3.16,130,55,-110
3.21,84,78,-156
3.27,32,104,-208
3.35,38,101,-202
3.43,55,92,-185
3.5,61,90,-179
3.57,74,83,-166
3.62,86,77,-154
3.69,99,70,-141
3.76,114,63,-126
3.83,131,54,-109
3.89,151,44,-89
3.95,173,34,-67
4.01,198,21,-42
4.07,226,7,-14
4.13,256,-8,16
4.19,288,-24,48
4.25,322,-41,82
4.31,356,-58,116
4.38,374,-67,134
4.46,411,-86,171
4.54,448,-104,208
4.62,434,-97,194
4.67,414,-87,174
4.74,401,-80,161
4.84,389,-74,149
4.93,366,-63,126
5.01,350,-55,110
5.1,331,-46,91
5.18,311,-36,71
5.23,275,-18,35
5.28,248,-4,8
5.34,205,18,-35
5.4,158,41,-82
5.45,123,58,-117
5.51,108,66,-132
5.57,72,84,-168
5.64,33,104,-207
5.69,30,105,-210
5.76,51,94,-189
5.82,65,88,-175
5.9,78,81,-162
5.96,93,74,-147
6.02,102,69,-138
6.09,118,61,-122
6.17,137,52,-103
6.24,159,40,-81
6.3,184,28,-56
6.37,212,14,-28
6.43,240,0,0
6.49,287,-24,47
6.62,320,-40,80
6.69,337,-48,97
6.76,394,-77,154
6.91,411,-86,171
7.0,448,-104,208
7.04,414,-87,174
7.11,402,-81,162
7.17,390,-75,150
7.33,352,-56,112
7.44,335,-48,95
